Count: 457

Sunkern (Grass, BST 180) — SPECIES_SUNKERN
Azurill (Normal/Fairy, BST 190) — SPECIES_AZURILL
Weedle (Bug/Poison, BST 195) — SPECIES_WEEDLE
Wurmple (Bug, BST 195) — SPECIES_WURMPLE
Ralts (Psychic/Ralts_Family_Type2, BST 198) — SPECIES_RALTS
Feebas (Water, BST 200) — SPECIES_FEEBAS
Magikarp (Water, BST 200) — SPECIES_MAGIKARP
Kakuna (Bug/Poison, BST 205) — SPECIES_KAKUNA
Metapod (Bug, BST 205) — SPECIES_METAPOD
Pichu (Electric, BST 205) — SPECIES_PICHU
Igglybuff (BST 210) — SPECIES_IGGLYBUFF
Tyrogue (Fighting, BST 210) — SPECIES_TYROGUE
Wooper (Water/Ground, BST 210) — SPECIES_WOOPER
Sentret (Normal, BST 215) — SPECIES_SENTRET
Cleffa (BST 218) — SPECIES_CLEFFA
Happiny (Normal, BST 220) — SPECIES_HAPPINY
Lotad (Water/Grass, BST 220) — SPECIES_LOTAD
Poochyena (Dark, BST 220) — SPECIES_POOCHYENA
Seedot (Grass, BST 220) — SPECIES_SEEDOT
Shedinja (Bug/Ghost, BST 236) — SPECIES_SHEDINJA
Makuhita (Fighting, BST 237) — SPECIES_MAKUHITA
Whismur (Normal, BST 240) — SPECIES_WHISMUR
Zigzagoon (Normal, BST 240) — SPECIES_ZIGZAGOON
Combee (Bug/Flying, BST 244) — SPECIES_COMBEE
Starly (Normal/Flying, BST 245) — SPECIES_STARLY
Togepi (Togepi_Family_Type, BST 245) — SPECIES_TOGEPI
Zubat (Poison/Flying, BST 245) — SPECIES_ZUBAT
Hoppip (Grass/Flying, BST 250) — SPECIES_HOPPIP
Marill (Water/Fairy, BST 250) — SPECIES_MARILL
Slugma (Fire, BST 250) — SPECIES_SLUGMA
Smeargle (Normal, BST 250) — SPECIES_SMEARGLE
Spinarak (Bug/Poison, BST 250) — SPECIES_SPINARAK
Swinub (Ice/Ground, BST 250) — SPECIES_SWINUB
Pidgey (Normal/Flying, BST 251) — SPECIES_PIDGEY
Rattata (Normal, BST 253) — SPECIES_RATTATA
Skitty (Normal, BST 260) — SPECIES_SKITTY
Wynaut (Psychic, BST 260) — SPECIES_WYNAUT
Hoothoot (Normal/Flying, BST 262) — SPECIES_HOOTHOOT
Shinx (Electric, BST 263) — SPECIES_SHINX
Pidove (Normal/Flying, BST 264) — SPECIES_PIDOVE
Diglett (Ground, BST 265) — SPECIES_DIGLETT
Ledyba (Bug/Flying, BST 265) — SPECIES_LEDYBA
Nincada (Bug/Ground, BST 266) — SPECIES_NINCADA
Surskit (Bug/Water, BST 269) — SPECIES_SURSKIT
Jigglypuff (BST 270) — SPECIES_JIGGLYPUFF
Taillow (Normal/Flying, BST 270) — SPECIES_TAILLOW
Wingull (Water/Flying, BST 270) — SPECIES_WINGULL
Cherubi (Grass, BST 275) — SPECIES_CHERUBI
Lillipup (Normal, BST 275) — SPECIES_LILLIPUP
Kirlia (Psychic/Ralts_Family_Type2, BST 278) — SPECIES_KIRLIA
Budew (Grass/Poison, BST 280) — SPECIES_BUDEW
Mareep (Electric, BST 280) — SPECIES_MAREEP
Meditite (Fighting/Psychic, BST 280) — SPECIES_MEDITITE
Slakoth (Normal, BST 280) — SPECIES_SLAKOTH
Purrloin (Dark, BST 281) — SPECIES_PURRLOIN
Chingling (Psychic, BST 285) — SPECIES_CHINGLING
Paras (Bug/Grass, BST 285) — SPECIES_PARAS
Riolu (Fighting, BST 285) — SPECIES_RIOLU
Barboach (Water/Ground, BST 288) — SPECIES_BARBOACH
Ditto (Normal, BST 288) — SPECIES_DITTO
Ekans (Poison, BST 288) — SPECIES_EKANS
Bonsly (Rock, BST 290) — SPECIES_BONSLY
Pineco (Bug, BST 290) — SPECIES_PINECO
Spheal (Ice/Water, BST 290) — SPECIES_SPHEAL
Trapinch (Ground, BST 290) — SPECIES_TRAPINCH
Munna (Psychic, BST 292) — SPECIES_MUNNA
Duskull (Ghost, BST 295) — SPECIES_DUSKULL
Electrike (Electric, BST 295) — SPECIES_ELECTRIKE
Horsea (Water, BST 295) — SPECIES_HORSEA
Shroomish (Grass, BST 295) — SPECIES_SHROOMISH
Bagon (Dragon, BST 300) — SPECIES_BAGON
Baltoy (Ground/Psychic, BST 300) — SPECIES_BALTOY
Beldum (Steel/Psychic, BST 300) — SPECIES_BELDUM
Bellsprout (Grass/Poison, BST 300) — SPECIES_BELLSPROUT
Bronzor (Steel/Psychic, BST 300) — SPECIES_BRONZOR
Croagunk (Poison/Fighting, BST 300) — SPECIES_CROAGUNK
Dratini (Dragon, BST 300) — SPECIES_DRATINI
Geodude (Rock/Ground, BST 300) — SPECIES_GEODUDE
Gible (Dragon/Ground, BST 300) — SPECIES_GIBLE
Larvitar (Rock/Ground, BST 300) — SPECIES_LARVITAR
Poliwag (Water, BST 300) — SPECIES_POLIWAG
Remoraid (Water, BST 300) — SPECIES_REMORAID
Sandshrew (Ground, BST 300) — SPECIES_SANDSHREW
Snorunt (Ice, BST 300) — SPECIES_SNORUNT
Snubbull (Fairy, BST 300) — SPECIES_SNUBBULL
Gulpin (Poison, BST 302) — SPECIES_GULPIN
Carvanha (Water/Dark, BST 305) — SPECIES_CARVANHA
Machop (Fighting, BST 305) — SPECIES_MACHOP
Mankey (Fighting, BST 305) — SPECIES_MANKEY
Numel (Fire/Ground, BST 305) — SPECIES_NUMEL
Shellder (Water, BST 305) — SPECIES_SHELLDER
Venonat (Bug/Poison, BST 305) — SPECIES_VENONAT
Corphish (Water, BST 308) — SPECIES_CORPHISH
Oshawott (Water, BST 308) — SPECIES_OSHAWOTT
Snivy (Grass, BST 308) — SPECIES_SNIVY
Tepig (Fire, BST 308) — SPECIES_TEPIG
Charmander (Fire, BST 309) — SPECIES_CHARMANDER
Chimchar (Fire, BST 309) — SPECIES_CHIMCHAR
Cyndaquil (Fire, BST 309) — SPECIES_CYNDAQUIL
Abra (Psychic, BST 310) — SPECIES_ABRA
Doduo (Normal/Flying, BST 310) — SPECIES_DODUO
Gastly (Ghost/Poison, BST 310) — SPECIES_GASTLY
Mudkip (Water, BST 310) — SPECIES_MUDKIP
Swablu (Normal/Flying, BST 310) — SPECIES_SWABLU
Torchic (Fire, BST 310) — SPECIES_TORCHIC
Treecko (Grass, BST 310) — SPECIES_TREECKO
Piplup (Water, BST 314) — SPECIES_PIPLUP
Squirtle (Water, BST 314) — SPECIES_SQUIRTLE
Totodile (Water, BST 314) — SPECIES_TOTODILE
Slowpoke (Water/Psychic, BST 315) — SPECIES_SLOWPOKE
Panpour (Water, BST 316) — SPECIES_PANPOUR
Pansage (Grass, BST 316) — SPECIES_PANSAGE
Pansear (Fire, BST 316) — SPECIES_PANSEAR
Bulbasaur (Grass/Poison, BST 318) — SPECIES_BULBASAUR
Turtwig (Grass, BST 318) — SPECIES_TURTWIG
Cubone (Ground, BST 320) — SPECIES_CUBONE
Goldeen (Water, BST 320) — SPECIES_GOLDEEN
Natu (Psychic/Flying, BST 320) — SPECIES_NATU
Oddish (Grass/Poison, BST 320) — SPECIES_ODDISH
Pikachu (Electric, BST 320) — SPECIES_PIKACHU
Psyduck (Water, BST 320) — SPECIES_PSYDUCK
Clefairy (BST 323) — SPECIES_CLEFAIRY
Eevee (Normal, BST 325) — SPECIES_EEVEE
Grimer (Poison, BST 325) — SPECIES_GRIMER
Krabby (Water, BST 325) — SPECIES_KRABBY
Magnemite (Electric/Steel, BST 325) — SPECIES_MAGNEMITE
Seel (Water, BST 325) — SPECIES_SEEL
Drowzee (Psychic, BST 328) — SPECIES_DROWZEE
Stunky (Poison/Dark, BST 329) — SPECIES_STUNKY
Aron (Steel/Rock, BST 330) — SPECIES_ARON
Buizel (Water, BST 330) — SPECIES_BUIZEL
Chinchou (Water/Electric, BST 330) — SPECIES_CHINCHOU
Delibird (Ice/Flying, BST 330) — SPECIES_DELIBIRD
Finneon (Water, BST 330) — SPECIES_FINNEON
Hippopotas (Ground, BST 330) — SPECIES_HIPPOPOTAS
Houndour (Dark/Fire, BST 330) — SPECIES_HOUNDOUR
Luvdisc (Water, BST 330) — SPECIES_LUVDISC
Phanpy (Ground, BST 330) — SPECIES_PHANPY
Skorupi (Poison/Bug, BST 330) — SPECIES_SKORUPI
Spoink (Psychic, BST 330) — SPECIES_SPOINK
Teddiursa (Normal, BST 330) — SPECIES_TEDDIURSA
Voltorb (Electric, BST 330) — SPECIES_VOLTORB
Snover (Grass/Ice, BST 334) — SPECIES_SNOVER
Cacnea (Grass, BST 335) — SPECIES_CACNEA
Tentacool (Water/Poison, BST 335) — SPECIES_TENTACOOL
Koffing (Poison, BST 340) — SPECIES_KOFFING
Lombre (Water/Grass, BST 340) — SPECIES_LOMBRE
Nuzleaf (Grass/Dark, BST 340) — SPECIES_NUZLEAF
Skiploom (Grass/Flying, BST 340) — SPECIES_SKIPLOOM
Staravia (Normal/Flying, BST 340) — SPECIES_STARAVIA
Staryu (Water, BST 340) — SPECIES_STARYU
Vibrava (Ground/Dragon, BST 340) — SPECIES_VIBRAVA
Clamperl (Water, BST 345) — SPECIES_CLAMPERL
Mantyke (Water/Flying, BST 345) — SPECIES_MANTYKE
Rhyhorn (Ground/Rock, BST 345) — SPECIES_RHYHORN
Drifloon (Ghost/Flying, BST 348) — SPECIES_DRIFLOON
Pidgeotto (Normal/Flying, BST 349) — SPECIES_PIDGEOTTO
Buneary (Normal, BST 350) — SPECIES_BUNEARY
Cranidos (Rock, BST 350) — SPECIES_CRANIDOS
Growlithe (Fire, BST 350) — SPECIES_GROWLITHE
Shieldon (Rock/Steel, BST 350) — SPECIES_SHIELDON
Anorith (Rock/Bug, BST 355) — SPECIES_ANORITH
Kabuto (Rock/Water, BST 355) — SPECIES_KABUTO
Lileep (Rock/Grass, BST 355) — SPECIES_LILEEP
Omanyte (Rock/Water, BST 355) — SPECIES_OMANYTE
Tranquill (Normal/Flying, BST 358) — SPECIES_TRANQUILL
Aipom (Normal, BST 360) — SPECIES_AIPOM
Elekid (Electric, BST 360) — SPECIES_ELEKID
Loudred (Normal, BST 360) — SPECIES_LOUDRED
Spinda (Normal, BST 360) — SPECIES_SPINDA
Luxio (Electric, BST 363) — SPECIES_LUXIO
Flaaffy (Electric, BST 365) — SPECIES_FLAAFFY
Magby (Fire, BST 365) — SPECIES_MAGBY
Nidorina (Poison, BST 365) — SPECIES_NIDORINA
Nidorino (Poison, BST 365) — SPECIES_NIDORINO
Herdier (Normal, BST 370) — SPECIES_HERDIER
Nosepass (Rock, BST 375) — SPECIES_NOSEPASS
Mawile (BST 380) — SPECIES_MAWILE
Sableye (Dark/Ghost, BST 380) — SPECIES_SABLEYE
Dustox (Bug/Poison, BST 385) — SPECIES_DUSTOX
Lickitung (Normal, BST 385) — SPECIES_LICKITUNG
Onix (Rock/Ground, BST 385) — SPECIES_ONIX
Poliwhirl (Water, BST 385) — SPECIES_POLIWHIRL
Graveler (Rock/Ground, BST 390) — SPECIES_GRAVELER
Ledian (Bug/Flying, BST 390) — SPECIES_LEDIAN
Munchlax (Normal, BST 390) — SPECIES_MUNCHLAX
Weepinbell (Grass/Poison, BST 390) — SPECIES_WEEPINBELL
Yanma (Bug/Flying, BST 390) — SPECIES_YANMA
Beautifly (Bug/Flying, BST 395) — SPECIES_BEAUTIFLY
Butterfree (Bug/Flying, BST 395) — SPECIES_BUTTERFREE
Gloom (Grass/Poison, BST 395) — SPECIES_GLOOM
Porygon (Normal, BST 395) — SPECIES_PORYGON
Ariados (Bug/Poison, BST 400) — SPECIES_ARIADOS
Delcatty (Normal, BST 400) — SPECIES_DELCATTY
Kadabra (Psychic, BST 400) — SPECIES_KADABRA
Roselia (Grass/Poison, BST 400) — SPECIES_ROSELIA
Wailmer (Water, BST 400) — SPECIES_WAILMER
Bayleef (Grass, BST 405) — SPECIES_BAYLEEF
Charmeleon (Fire, BST 405) — SPECIES_CHARMELEON
