Gen 1-5 Pokémon lijst
====================
Aantal: 504

SPECIES_SUNKERN — BST 180
SPECIES_AZURILL — BST 190
SPECIES_KRICKETOT — BST 194
SPECIES_CATERPIE — BST 195
SPECIES_WEEDLE — BST 195
SPECIES_WURMPLE — BST 195
SPECIES_RALTS — BST 198
SPECIES_FEEBAS — BST 200
SPECIES_MAGIKARP — BST 200
SPECIES_CASCOON — BST 205
SPECIES_KAKUNA — BST 205
SPECIES_METAPOD — BST 205
SPECIES_PICHU — BST 205
SPECIES_SILCOON — BST 205
SPECIES_IGGLYBUFF — BST 210
SPECIES_TYROGUE — BST 210
SPECIES_WOOPER — BST 210
SPECIES_SENTRET — BST 215
SPECIES_CLEFFA — BST 218
SPECIES_HAPPINY — BST 220
SPECIES_LOTAD — BST 220
SPECIES_POOCHYENA — BST 220
SPECIES_SEEDOT — BST 220
SPECIES_SHEDINJA — BST 236
SPECIES_MAKUHITA — BST 237
SPECIES_WHISMUR — BST 240
SPECIES_ZIGZAGOON — BST 240
SPECIES_COMBEE — BST 244
SPECIES_STARLY — BST 245
SPECIES_TOGEPI — BST 245
SPECIES_ZUBAT — BST 245
SPECIES_BIDOOF — BST 250
SPECIES_HOPPIP — BST 250
SPECIES_MARILL — BST 250
SPECIES_SLUGMA — BST 250
SPECIES_SMEARGLE — BST 250
SPECIES_SPINARAK — BST 250
SPECIES_SWINUB — BST 250
SPECIES_PIDGEY — BST 251
SPECIES_RATTATA — BST 253
SPECIES_PATRAT — BST 255
SPECIES_SKITTY — BST 260
SPECIES_WYNAUT — BST 260
SPECIES_HOOTHOOT — BST 262
SPECIES_SPEAROW — BST 262
SPECIES_SHINX — BST 263
SPECIES_PIDOVE — BST 264
SPECIES_DIGLETT — BST 265
SPECIES_LEDYBA — BST 265
SPECIES_NINCADA — BST 266
SPECIES_SURSKIT — BST 269
SPECIES_JIGGLYPUFF — BST 270
SPECIES_TAILLOW — BST 270
SPECIES_WINGULL — BST 270
SPECIES_CHERUBI — BST 275
SPECIES_LILLIPUP — BST 275
SPECIES_KIRLIA — BST 278
SPECIES_BUDEW — BST 280
SPECIES_MAREEP — BST 280
SPECIES_MEDITITE — BST 280
SPECIES_SLAKOTH — BST 280
SPECIES_PURRLOIN — BST 281
SPECIES_CHINGLING — BST 285
SPECIES_PARAS — BST 285
SPECIES_RIOLU — BST 285
SPECIES_BARBOACH — BST 288
SPECIES_DITTO — BST 288
SPECIES_EKANS — BST 288
SPECIES_BONSLY — BST 290
SPECIES_MEOWTH — BST 290
SPECIES_PINECO — BST 290
SPECIES_SPHEAL — BST 290
SPECIES_TRAPINCH — BST 290
SPECIES_MUNNA — BST 292
SPECIES_DUSKULL — BST 295
SPECIES_ELECTRIKE — BST 295
SPECIES_HORSEA — BST 295
SPECIES_SHROOMISH — BST 295
SPECIES_SHUPPET — BST 295
SPECIES_VULPIX — BST 299
SPECIES_BAGON — BST 300
SPECIES_BALTOY — BST 300
SPECIES_BELDUM — BST 300
SPECIES_BELLSPROUT — BST 300
SPECIES_BRONZOR — BST 300
SPECIES_CROAGUNK — BST 300
SPECIES_DRATINI — BST 300
SPECIES_GEODUDE — BST 300
SPECIES_GIBLE — BST 300
SPECIES_LARVITAR — BST 300
SPECIES_POLIWAG — BST 300
SPECIES_REMORAID — BST 300
SPECIES_SANDSHREW — BST 300
SPECIES_SNORUNT — BST 300
SPECIES_SNUBBULL — BST 300
SPECIES_GULPIN — BST 302
SPECIES_CARVANHA — BST 305
SPECIES_MACHOP — BST 305
SPECIES_MANKEY — BST 305
SPECIES_NUMEL — BST 305
SPECIES_SHELLDER — BST 305
SPECIES_SMOOCHUM — BST 305
SPECIES_VENONAT — BST 305
SPECIES_CORPHISH — BST 308
SPECIES_OSHAWOTT — BST 308
SPECIES_SNIVY — BST 308
SPECIES_TEPIG — BST 308
SPECIES_CHARMANDER — BST 309
SPECIES_CHIMCHAR — BST 309
SPECIES_CYNDAQUIL — BST 309
SPECIES_ABRA — BST 310
SPECIES_DODUO — BST 310
SPECIES_GASTLY — BST 310
SPECIES_GLAMEOW — BST 310
SPECIES_MUDKIP — BST 310
SPECIES_SWABLU — BST 310
SPECIES_TORCHIC — BST 310
SPECIES_TREECKO — BST 310
SPECIES_PIPLUP — BST 314
SPECIES_SQUIRTLE — BST 314
SPECIES_TOTODILE — BST 314
SPECIES_SLOWPOKE — BST 315
SPECIES_PANPOUR — BST 316
SPECIES_PANSAGE — BST 316
SPECIES_PANSEAR — BST 316
SPECIES_BULBASAUR — BST 318
SPECIES_CHIKORITA — BST 318
SPECIES_TURTWIG — BST 318
SPECIES_CUBONE — BST 320
SPECIES_GOLDEEN — BST 320
SPECIES_NATU — BST 320
SPECIES_ODDISH — BST 320
SPECIES_PIKACHU — BST 320
SPECIES_PSYDUCK — BST 320
SPECIES_CLEFAIRY — BST 323
SPECIES_EEVEE — BST 325
SPECIES_EXEGGCUTE — BST 325
SPECIES_GRIMER — BST 325
SPECIES_KRABBY — BST 325
SPECIES_MAGNEMITE — BST 325
SPECIES_SEEL — BST 325
SPECIES_DROWZEE — BST 328
SPECIES_STUNKY — BST 329
SPECIES_ARON — BST 330
SPECIES_BUIZEL — BST 330
SPECIES_CHINCHOU — BST 330
SPECIES_DELIBIRD — BST 330
SPECIES_FINNEON — BST 330
SPECIES_HIPPOPOTAS — BST 330
SPECIES_HOUNDOUR — BST 330
SPECIES_LUVDISC — BST 330
SPECIES_PHANPY — BST 330
SPECIES_SKORUPI — BST 330
SPECIES_SPOINK — BST 330
SPECIES_TEDDIURSA — BST 330
SPECIES_VOLTORB — BST 330
SPECIES_SNOVER — BST 334
